O=CC1=CC=C(C)C(CC=C(C)C)C1(C(=O)C=CC(O)(C)C)C CNP0076523
O=S(OCCCC)OCCCCCCCCCCCCC CNP0076895
O=C1OC2=C(C=C1)C(=C3C=COC3=C2COC)COCC=C(C)C CNP0076896
OC1=CC2=C(OCC3C4=CC=C5OCOC5=C4OC23)C=6C=CC(OC16)(C)C CNP0077058
O=C(OC)C1N(CC2=C(N=CN2C(C)C)C1)S(=O)(=O)C=3C=CC=C(C3)C(F)(F)F CNP0077214
O=C1C(OC=2C1=CC=C(O)C2CN3CCN(CC)CC3)=CC=4C=NC=CC4 CNP0077215
O=C(OC1C2(O)C(=O)C3=C4CC(=O)OC(C5=COC=C5)C4(C)CCC3C6(C)C(CC(=O)OC)C1(C)CC26OC(=O)C(C)C)C CNP0077223
O=C(OC1C2C=C(C(=O)C(OC(=O)C)C(OC(=O)C)C(C)(C)CC=C(C)C(OC(=O)C)C2(OC(=O)C)C(OC(=O)C)C1C)C)C=3C=CC=CC3 CNP0077241
O=C(OCCC)C=CC=1C=CC=CC1 CNP0077243
O=C1C(=COC=2C1=CC(OC)=C(OC)C2CC=C(C)C)C=3C=C4OCOC4=CC3OC CNP0077313
O=C1OC(=C(C(O)=C1C2C=3C(=O)C(=C(OC3C(C(=O)C2CO)(C)CC)C)C)C)C CNP0077315
O=C1OC(C2=COC=C2)C3(C(=C1)C4=C(CC3)C5(C)C(CC(=O)OC)C6(C)CC5(O)C4C(=O)C6OC(=O)C)C CNP0077341
FC(F)(F)C(OC=1N=C(N=C(N1)N2CCCCC2)NC3=CC=C(C=C3)C)C(F)(F)F CNP0077350
O=C(OC)C(C=CCCCCCC)=C(C(=O)OC)C CNP0077359
O=C(C=1C=CC=CC1)C=2C(=O)C3(C(=O)C(C2O)(CC=C(C)C)CC4(OOC(CC4C3)C(OO)(C)C)C)CC=C(C)C CNP0077360
O=C1C=C2CCC(O)C(C)C2(C=C1C(OC)(C)C)C CNP0077398
O=C(O)CCC=C(C)C(O)CC=CC=CC=CC=CC=CC(=CC(O)C(C)C1OC(=O)CC(O)C(C)C(O)C(C)C(O)C(C)CC=CC=CCC(OC)CCCC(O)C1)C CNP0077404
O=C1C(N=C(O)C(C)CC)=C2SSC=C2N1C CNP0077436
OC1=CC=CC(=C1)C(O)=NC(CO)CCCCN=C(O)C=2C=CC=C(O)C2O CNP0077441
O=CC1=CC=C(O)C2=C1C3(C)CCC4C(C)(CCC5C6(C)CCC7C(OC6CCC54C)(C)CCCC7(C)C)C3C2 CNP0077601
O=C1OC(C2=COC=C2)CC3(C)C1CCC4(C)C(C(=O)CCC43)C CNP0077659
O=C(NC1=CC=C(C=C1)C)NCCCCNC(=O)N(O)C2=CC=CC(=C2)C CNP0077661
O=C(OC)C1=CCCC2C34C(=C)CC(OC(=O)C)C12C(O)OC4OC(C5=COC=C5)C3 CNP0077662
O=C(OC)C1=CCCC2C13CCC(=C)C42CC(OC4OC3O)C5=COC=C5 CNP0077663
